,SHP_ID,BARCODE,TYPE,TRACK_NO
0,18180,32110010000885,SiPMArray,7792 9733 1877
1,18180,32110010000452,SiPMArray,7792 9733 1877
2,18180,32110010000568,SiPMArray,7792 9733 1877
3,18180,32110010000839,SiPMArray,7792 9733 1877
4,18180,32110010000879,SiPMArray,7792 9733 1877
5,18180,32110010000881,SiPMArray,7792 9733 1877
6,18180,32110010001145,SiPMArray,7792 9733 1877
7,18180,32110010001177,SiPMArray,7792 9733 1877
8,18180,32110010001187,SiPMArray,7792 9733 1877
9,18180,32110010001192,SiPMArray,7792 9733 1877
10,18180,32110010001198,SiPMArray,7792 9733 1877
11,18180,32110010001213,SiPMArray,7792 9733 1877
12,18180,32110000104314,LYSOMatrix #1,7792 9733 1877
13,18180,32110000104360,LYSOMatrix #1,7792 9733 1877
14,18180,32110000104572,LYSOMatrix #1,7792 9733 1877
15,18180,32110000104588,LYSOMatrix #1,7792 9733 1877
16,18180,32110000104653,LYSOMatrix #1,7792 9733 1877
17,18180,32110000104654,LYSOMatrix #1,7792 9733 1877
18,18180,32110020000258,SensorModule,7792 9733 1877
19,18180,32110020000265,SensorModule,7792 9733 1877
20,18180,32110020000332,SensorModule,7792 9733 1877
21,18180,32110020000326,SensorModule,7792 9733 1877
22,18180,32110020000327,SensorModule,7792 9733 1877
23,18180,32110020000331,SensorModule,7792 9733 1877
